ONCOTREE_CODE,TUMOR_TYPE
BLCA,BLADDER
UTUC,BLADDER
UCU,BLADDER
BLAD,BLADDER
IDC,BREAST
BRCA,BREAST
ILC,BREAST
BRCANOS,BREAST
BRCNOS,BREAST
MDLC,BREAST
MBC,BREAST
ACBC,BREAST
MNG,CNS
ATM,CNS
MBL,CNS
PTAD,CNS
PBT,CNS
APE,CNS
ANM,CNS
PBL,CNS
HGNET,CNS
MNET,CNS
ATRT,CNS
PGNG,CNS
RGNT,CNS
EMBT,CNS
HMBL,CNS
MBLNWS,CNS
MPE,CNS
ACPG,CNS
MBT,CNS
CPP,CNS
ONBL,CNS
SFTCNS,CNS
GBM,CNS
GB,CNS
PAST,CNS
HGGNOS,CNS
DASTR,CNS
ODG,CNS
ASTR,CNS
AASTR,CNS
DIFG,CNS
DIPG,CNS
AODG,CNS
LGGNOS,CNS
EPM,CNS
GNOS,CNS
GNG,CNS
GSARC,CNS
PXA,CNS
APXA,CNS
DNT,CNS
ENCG,CNS
COAD,COLORECTAL
READ,COLORECTAL
COADREAD,COLORECTAL
MAAP,COLORECTAL
APAD,COLORECTAL
MACR,COLORECTAL
GCCAP,COLORECTAL
SRCCR,COLORECTAL
CMC,COLORECTAL
LAMN,COLORECTAL
STAD,ESOPHAGOGASTRIC
ESCA,ESOPHAGOGASTRIC
GEJ,ESOPHAGOGASTRIC
EGC,ESOPHAGOGASTRIC
ESCC,ESOPHAGOGASTRIC
SPDAC,ESOPHAGOGASTRIC
SSRCC,ESOPHAGOGASTRIC
EPDCA,ESOPHAGOGASTRIC
DSTAD,ESOPHAGOGASTRIC
ISTAD,ESOPHAGOGASTRIC
TSTAD,ESOPHAGOGASTRIC
MGCT,GERM_CELL
SEM,GERM_CELL
NSGCT,GERM_CELL
TYST,GERM_CELL
EMBCA,GERM_CELL
GCTSTM,GERM_CELL
OIMT,GERM_CELL
EGCT,GERM_CELL
TCCA,GERM_CELL
OYST,GERM_CELL
BMGCT,GERM_CELL
GMN,GERM_CELL
TT,GERM_CELL
OMT,GERM_CELL
GIST,GIST
UEC,GYN
USC,GYN
UCS,GYN
UCEC,GYN
UMEC,GYN
UCCC,GYN
UDDC,GYN
UPDC,GYN
HGSOC,GYN
HGSFT,GYN
CCOV,GYN
LGSOC,GYN
EOV,GYN
OCS,GYN
PSEC,GYN
MXOV,GYN
OOVC,GYN
SOC,GYN
SBOV,GYN
OVT,GYN
MBOV,GYN
ACYC,HEAD_NECK
SDCA,HEAD_NECK
SACA,HEAD_NECK
OSACA,HEAD_NECK
ACCC,HEAD_NECK
MUCC,HEAD_NECK
MYEC,HEAD_NECK
SAAD,HEAD_NECK
HNMASC,HEAD_NECK
HNSC,HEAD_NECK
OCSC,HEAD_NECK
OPHSC,HEAD_NECK
LXSC,HEAD_NECK
SNSC,HEAD_NECK
HPHSC,HEAD_NECK
HCC,HEPATO
LIHB,HEPATO
LUAD,LUNG
LUSC,LUNG
NSCLC,LUNG
SCLC,LUNG
LUNE,LUNG
NSCLCPD,LUNG
LUPC,LUNG
DLBCLNOS,MBL
MBN,MBL
FL,MBL
MCL,MBL
CLLSLL,MBL
PCNSL,MBL
PLEMESO,MESOTHELIOMA
PEMESO,MESOTHELIOMA
PLMESO,MESOTHELIOMA
PLBMESO,MESOTHELIOMA
NBL,NEUROBLASTOMA
GNBL,NEUROBLASTOMA
IHCH,PANCREATOBILIARY
CHOL,PANCREATOBILIARY
GBAD,PANCREATOBILIARY
GBC,PANCREATOBILIARY
EHCH,PANCREATOBILIARY
PHCH,PANCREATOBILIARY
PAAD,PANCREATOBILIARY
PAASC,PANCREATOBILIARY
PAAC,PANCREATOBILIARY
PANET,PANCREATOBILIARY
PRAD,PROSTATE
CCRCC,RENAL
RCC,RENAL
URCC,RENAL
PRCC,RENAL
CHRCC,RENAL
ROCY,RENAL
TRCC,RENAL
RAML,RENAL
NCCRCC,RENAL
FHRCC,RENAL
SRCC,RENAL
RBL,RETINOBLASTOMA
SKCM,SKIN_AND_MELANOMA
MEL,SKIN_AND_MELANOMA
MUP,SKIN_AND_MELANOMA
ACRM,SKIN_AND_MELANOMA
MELC,SKIN_AND_MELANOMA
ARMM,SKIN_AND_MELANOMA
VMM,SKIN_AND_MELANOMA
HNMUCM,SKIN_AND_MELANOMA
OM,SKIN_AND_MELANOMA
AN,SKIN_AND_MELANOMA
CSCC,SKIN_AND_MELANOMA
MCC,SKIN_AND_MELANOMA
BCC,SKIN_AND_MELANOMA
SKAC,SKIN_AND_MELANOMA
DFSP,SKIN_AND_MELANOMA
SARCNOS,SOFT_TISSUE
LMS,SOFT_TISSUE
MFH,SOFT_TISSUE
DDLS,SOFT_TISSUE
ULMS,SOFT_TISSUE
DSRCT,SOFT_TISSUE
SYNS,SOFT_TISSUE
MFS,SOFT_TISSUE
ANGS,SOFT_TISSUE
MPNST,SOFT_TISSUE
SCHW,SOFT_TISSUE
WDLS,SOFT_TISSUE
DES,SOFT_TISSUE
MRLS,SOFT_TISSUE
ERMS,SOFT_TISSUE
SFT,SOFT_TISSUE
RMS,SOFT_TISSUE
ARMS,SOFT_TISSUE
NFIB,SOFT_TISSUE
USARC,SOFT_TISSUE
EHAE,SOFT_TISSUE
EPIS,SOFT_TISSUE
HEMA,SOFT_TISSUE
PECOMA,SOFT_TISSUE
BA,SOFT_TISSUE
RCSNOS,SOFT_TISSUE
ESST,SOFT_TISSUE
UAS,SOFT_TISSUE
PLLS,SOFT_TISSUE
CCS,SOFT_TISSUE
OUSARC,SOFT_TISSUE
MPT,SOFT_TISSUE
LIPO,SOFT_TISSUE
ALT,SOFT_TISSUE
ASPS,SOFT_TISSUE
ESS,SOFT_TISSUE
LGESS,SOFT_TISSUE
IMT,SOFT_TISSUE
LGFMS,SOFT_TISSUE
INTS,SOFT_TISSUE
NST,SOFT_TISSUE
RAS,SOFT_TISSUE
SEF,SOFT_TISSUE
HGESS,SOFT_TISSUE
TGCT,SOFT_TISSUE
OS,SOFT_TISSUE
ES,SOFT_TISSUE
CHS,SOFT_TISSUE
CHDM,SOFT_TISSUE
OSOS,SOFT_TISSUE
DDCHS,SOFT_TISSUE
GCTB,SOFT_TISSUE
EMCHS,SOFT_TISSUE
THPA,THYROID
THPD,THYROID
THAP,THYROID
THME,THYROID
THFO,THYROID
WDTC,THYROID
UM,UVEAL_MEL
